,race,position,number,Driver,original_team_name,laps,secs,points,year
1,"Melbourne Grand Prix Circuit, Australia",1,22,BUT,Brawn Mercedes,58,34:15.8,10,2009
2,"Melbourne Grand Prix Circuit, Australia",2,23,BAR,Brawn Mercedes,58,+0.807s,8,2009
3,"Melbourne Grand Prix Circuit, Australia",3,9,TRU,Toyota,58,+1.604s,6,2009
4,"Melbourne Grand Prix Circuit, Australia",DQ,1,HAM,McLaren Mercedes,58,+2.914s,0,2009
5,"Melbourne Grand Prix Circuit, Australia",4,10,GLO,Toyota,58,+4.435s,5,2009
6,"Melbourne Grand Prix Circuit, Australia",5,7,ALO,Renault,58,+4.879s,4,2009
7,"Melbourne Grand Prix Circuit, Australia",6,16,ROS,Williams Toyota,58,+5.722s,3,2009
8,"Melbourne Grand Prix Circuit, Australia",7,12,BUE,STR Ferrari,58,+6.004s,2,2009
9,"Melbourne Grand Prix Circuit, Australia",8,11,BOU,STR Ferrari,58,+6.298s,1,2009
10,"Melbourne Grand Prix Circuit, Australia",9,20,SUT,Force India Mercedes,58,+6.335s,0,2009
11,"Melbourne Grand Prix Circuit, Australia",10,6,HEI,Sauber BMW,58,+7.085s,0,2009
12,"Melbourne Grand Prix Circuit, Australia",11,21,FIS,Force India Mercedes,58,+7.374s,0,2009
13,"Melbourne Grand Prix Circuit, Australia",12,14,WEB,RBR Renault,57,+1 lap,0,2009
14,"Melbourne Grand Prix Circuit, Australia",13,15,VET,RBR Renault,56,DNF,0,2009
15,"Melbourne Grand Prix Circuit, Australia",14,5,KUB,Sauber BMW,55,DNF,0,2009
16,"Melbourne Grand Prix Circuit, Australia",15,4,RAI,Ferrari,55,DNF,0,2009
17,"Melbourne Grand Prix Circuit, Australia",NC,3,MAS,Ferrari,45,DNF,0,2009
18,"Melbourne Grand Prix Circuit, Australia",NC,8,PIQ,Renault,24,DNF,0,2009
19,"Melbourne Grand Prix Circuit, Australia",NC,17,NAK,Williams Toyota,17,DNF,0,2009
20,"Melbourne Grand Prix Circuit, Australia",NC,2,KOV,McLaren Mercedes,0,DNF,0,2009
21,"Sepang International Circuit, Malaysia",1,22,BUT,Brawn Mercedes,31,55:30.6,5,2009
22,"Sepang International Circuit, Malaysia",2,6,HEI,Sauber BMW,31,+22.722s,4,2009
23,"Sepang International Circuit, Malaysia",3,10,GLO,Toyota,31,+23.513s,3,2009
24,"Sepang International Circuit, Malaysia",4,9,TRU,Toyota,31,+46.173s,2.5,2009
25,"Sepang International Circuit, Malaysia",5,23,BAR,Brawn Mercedes,31,+47.360s,2,2009
26,"Sepang International Circuit, Malaysia",6,14,WEB,RBR Renault,31,+52.333s,1.5,2009
27,"Sepang International Circuit, Malaysia",7,1,HAM,McLaren Mercedes,31,+60.733s,1,2009
28,"Sepang International Circuit, Malaysia",8,16,ROS,Williams Toyota,31,+71.576s,0.5,2009
29,"Sepang International Circuit, Malaysia",9,3,MAS,Ferrari,31,+76.932s,0,2009
30,"Sepang International Circuit, Malaysia",10,11,BOU,STR Ferrari,31,+102.164s,0,2009
31,"Sepang International Circuit, Malaysia",11,7,ALO,Renault,31,+109.422s,0,2009
32,"Sepang International Circuit, Malaysia",12,17,NAK,Williams Toyota,31,+116.130s,0,2009
33,"Sepang International Circuit, Malaysia",13,8,PIQ,Renault,31,+116.713s,0,2009
34,"Sepang International Circuit, Malaysia",14,4,RAI,Ferrari,31,+142.841s,0,2009
35,"Sepang International Circuit, Malaysia",15,15,VET,RBR Renault,30,DNF,0,2009
36,"Sepang International Circuit, Malaysia",16,12,BUE,STR Ferrari,30,DNF,0,2009
37,"Sepang International Circuit, Malaysia",17,20,SUT,Force India Mercedes,30,+1 lap,0,2009
38,"Sepang International Circuit, Malaysia",18,21,FIS,Force India Mercedes,29,DNF,0,2009
39,"Sepang International Circuit, Malaysia",NC,5,KUB,Sauber BMW,1,DNF,0,2009
40,"Sepang International Circuit, Malaysia",NC,2,KOV,McLaren Mercedes,0,DNF,0,2009
41,"Shanghai International Circuit, China",1,15,VET,RBR Renault,56,57:43.5,10,2009
42,"Shanghai International Circuit, China",2,14,WEB,RBR Renault,56,+10.970s,8,2009
43,"Shanghai International Circuit, China",3,22,BUT,Brawn Mercedes,56,+44.975s,6,2009
44,"Shanghai International Circuit, China",4,23,BAR,Brawn Mercedes,56,+63.704s,5,2009
45,"Shanghai International Circuit, China",5,2,KOV,McLaren Mercedes,56,+65.102s,4,2009
46,"Shanghai International Circuit, China",6,1,HAM,McLaren Mercedes,56,+71.866s,3,2009
47,"Shanghai International Circuit, China",7,10,GLO,Toyota,56,+74.476s,2,2009
48,"Shanghai International Circuit, China",8,12,BUE,STR Ferrari,56,+76.439s,1,2009
49,"Shanghai International Circuit, China",9,7,ALO,Renault,56,+84.309s,0,2009
50,"Shanghai International Circuit, China",10,4,RAI,Ferrari,56,+91.750s,0,2009
51,"Shanghai International Circuit, China",11,11,BOU,STR Ferrari,56,+94.156s,0,2009
52,"Shanghai International Circuit, China",12,6,HEI,Sauber BMW,56,+95.834s,0,2009
53,"Shanghai International Circuit, China",13,5,KUB,Sauber BMW,56,+106.853s,0,2009
54,"Shanghai International Circuit, China",14,21,FIS,Force India Mercedes,55,+1 lap,0,2009
55,"Shanghai International Circuit, China",15,16,ROS,Williams Toyota,55,+1 lap,0,2009
56,"Shanghai International Circuit, China",16,8,PIQ,Renault,54,+2 laps,0,2009
57,"Shanghai International Circuit, China",17,20,SUT,Force India Mercedes,50,DNF,0,2009
58,"Shanghai International Circuit, China",NC,17,NAK,Williams Toyota,43,DNF,0,2009
59,"Shanghai International Circuit, China",NC,3,MAS,Ferrari,20,DNF,0,2009
60,"Shanghai International Circuit, China",NC,9,TRU,Toyota,18,DNF,0,2009
61,"Bahrain International Circuit, Bahrain",1,22,BUT,Brawn Mercedes,57,31:48.2,10,2009
62,"Bahrain International Circuit, Bahrain",2,15,VET,RBR Renault,57,+7.187s,8,2009
63,"Bahrain International Circuit, Bahrain",3,9,TRU,Toyota,57,+9.170s,6,2009
64,"Bahrain International Circuit, Bahrain",4,1,HAM,McLaren Mercedes,57,+22.096s,5,2009
65,"Bahrain International Circuit, Bahrain",5,23,BAR,Brawn Mercedes,57,+37.779s,4,2009
66,"Bahrain International Circuit, Bahrain",6,4,RAI,Ferrari,57,+42.057s,3,2009
67,"Bahrain International Circuit, Bahrain",7,10,GLO,Toyota,57,+42.880s,2,2009
68,"Bahrain International Circuit, Bahrain",8,7,ALO,Renault,57,+52.775s,1,2009
69,"Bahrain International Circuit, Bahrain",9,16,ROS,Williams Toyota,57,+58.198s,0,2009
70,"Bahrain International Circuit, Bahrain",10,8,PIQ,Renault,57,+65.149s,0,2009
71,"Bahrain International Circuit, Bahrain",11,14,WEB,RBR Renault,57,+67.641s,0,2009
72,"Bahrain International Circuit, Bahrain",12,2,KOV,McLaren Mercedes,57,+77.824s,0,2009
73,"Bahrain International Circuit, Bahrain",13,11,BOU,STR Ferrari,57,+78.805s,0,2009
74,"Bahrain International Circuit, Bahrain",14,3,MAS,Ferrari,56,+1 lap,0,2009
